stop_id,stop_name,stop_lon,stop_lat,stop_full_name
S0006,阜成门,116.354397,39.923516,北京市西城区阜成门(公交站)
S0007,阜成门内,116.358269,39.92276,北京市西城区阜成门内(公交站)
S0008,白塔寺东,116.367065,39.923916,北京市西城区白塔寺东(公交站)
S0027,阜外西口,116.340958,39.9231,北京市西城区阜外西口(公交站)
S0034,虎坊桥路口西,116.382225,39.889339,北京市西城区虎坊桥路口西(公交站)
S0035,果子巷,116.378952,39.889259,北京市西城区果子巷(公交站)
S0047,甘家口东,116.337296,39.922977,北京市西城区甘家口东(公交站)
S0048,西四路口西,116.37145,39.923984,北京市西城区西四路口西(公交站)
S0061,骑河楼,116.406541,39.919132,北京市东城区骑河楼(公交站)
S0062,崇文门西,116.415154,39.900982,北京市东城区崇文门西(公交站)
S0068,美术馆北,116.410789,39.925724,北京市东城区美术馆北(公交站)
S0069,大佛寺,116.409126,39.927773,北京市东城区大佛寺(公交站)
S0070,宽街路口南,116.408989,39.931026,北京市东城区宽街路口南(公交站)
S0089,东直门枢纽站,116.437496,39.94174,北京市东城区东直门枢纽站(公交站)
S0093,东四十二条,116.417018,39.936185,北京市东城区东四十二条(公交站)
S0103,天桥,116.398979,39.884277,北京市东城区天桥(公交站)
S0110,鼓楼,116.396065,39.937965,鼓楼(公交站)
S0112,北海北门,116.39093,39.933464,北京市西城区北海北门(公交站)
S0113,东官房,116.38533,39.933121,北京市西城区东官房(公交站)
S0114,厂桥路口东,116.381094,39.93306,北京市西城区厂桥路口东(公交站)
S0115,平安里路口东,116.374197,39.932652,北京市西城区平安里路口东(公交站)
S0116,平安医院,116.366585,39.932327,北京市西城区平安医院(公交站)
S0118,车公庄西,116.353447,39.932991,北京市西城区车公庄西(公交站)
S0119,三塔寺,116.349083,39.932362,北京市西城区三塔寺(公交站)
S0120,二里沟东口,116.34217,39.932383,北京市西城区二里沟东口(公交站)
S0124,车公庄东,116.358475,39.93232,北京市西城区车公庄东(公交站)
S0139,广安门内,116.355803,39.889284,广安门内(公交站)
S0140,牛街路口西,116.362488,39.8894,北京市西城区牛街路口西(公交站)
S0141,菜市口西,116.371841,39.889351,北京市西城区菜市口西(公交站)
S0144,南菜园,116.35168,39.877721,北京市西城区南菜园(公交站)
S0145,白纸坊路口西,116.358185,39.877911,北京市西城区白纸坊路口西(公交站)
S0146,南樱桃园路口北,116.363928,39.879401,北京市西城区南樱桃园路口北(公交站)
S0147,牛街南口,116.363728,39.881454,北京市西城区牛街南口(公交站)
S0148,牛街礼拜寺,116.363802,39.884497,北京市西城区牛街礼拜寺(公交站)
S0149,牛街,116.363668,39.888325,北京市西城区牛街(公交站)
S0150,宣武医院,116.363568,39.890803,北京市西城区宣武医院(公交站)
S0151,槐柏树街东口,116.363307,39.895885,北京市西城区槐柏树街东口(公交站)
S0152,长椿街路口北,116.363281,39.900573,北京市西城区长椿街路口北(公交站)
S0153,新文化街西口,116.36322,39.904766,北京市西城区新文化街西口(公交站)
S0154,民族文化宫,116.364464,39.907269,北京市西城区民族文化宫(公交站)
S0155,复兴门内,116.359688,39.907108,北京市西城区复兴门内(公交站)
S0156,南礼士路,116.350226,39.907313,北京市西城区南礼士路(公交站)
S0157,三里河东路南口,116.344136,39.90865,北京市西城区三里河东路南口(公交站)
S0158,月坛南街南站,116.3451,39.912422,北京市西城区月坛南街南站(公交站)
S0159,月坛南街北站,116.345,39.915317,北京市西城区月坛南街北站(公交站)
S0160,月坛北街北站,116.344872,39.919373,北京市西城区月坛北街北站(公交站)
S0161,甘家口西,116.331879,39.92321,北京市海淀区甘家口西(公交站)
S0162,白堆子口东,116.327626,39.923429,北京市海淀区白堆子口东(公交站)
S0163,马神庙,116.319931,39.923782,北京市海淀区马神庙(公交站)
S0164,航天桥东,116.314861,39.923702,北京市海淀区航天桥东(公交站)
S0169,新源里,116.449135,39.948494,北京市朝阳区新源里(公交站)
S0170,塔园村,116.450363,39.943977,北京市朝阳区塔园村(公交站)
S0171,幸福三村,116.4505,39.939091,北京市朝阳区幸福三村(公交站)
S0172,工人体育场,116.45031,39.93301,北京市朝阳区工人体育场(公交站)
S0181,地安门内,116.39638,39.931411,北京市西城区地安门内(公交站)
S0188,亮果厂,116.405922,39.929523,北京市东城区亮果厂(公交站)
S0203,长虹桥西,116.459271,39.933694,北京市朝阳区长虹桥西(公交站)
S0204,三里屯,116.454527,39.933672,北京市朝阳区三里屯(公交站)
S0205,工人体育馆,116.442879,39.93367,北京市东城区工人体育馆(公交站)
S0206,东四十条桥东,116.438942,39.93367,北京市东城区东四十条桥东(公交站)
