stop_id,stop_name,stop_lon,stop_lat,stop_full_name
S0061,骑河楼,116.406541,39.919132,北京市东城区骑河楼(公交站)
S0068,美术馆北,116.410789,39.925724,北京市东城区美术馆北(公交站)
S0069,大佛寺,116.409126,39.927773,北京市东城区大佛寺(公交站)
S0070,宽街路口南,116.408989,39.931026,北京市东城区宽街路口南(公交站)
S0103,天桥,116.398979,39.884277,北京市东城区天桥(公交站)
S0155,复兴门内,116.359688,39.907108,北京市西城区复兴门内(公交站)
S0156,南礼士路,116.350226,39.907313,北京市西城区南礼士路(公交站)
S0188,亮果厂,116.405922,39.929523,北京市东城区亮果厂(公交站)
S0284,大北窑东,116.46479,39.908596,北京市朝阳区大北窑东(公交站)
S0285,郎家园,116.468707,39.908138,北京市朝阳区郎家园(公交站)
S0306,八王坟西,116.474692,39.908056,北京市朝阳区八王坟西(公交站)
S0312,赵公口桥西,116.409245,39.856858,北京市丰台区赵公口桥西(公交站)
S0313,木樨园桥东,116.404291,39.857298,北京市丰台区木樨园桥东(公交站)
S0314,木樨园桥北,116.400616,39.859805,北京市东城区木樨园桥北(公交站)
S0315,沙子口,116.399422,39.863983,北京市东城区沙子口(公交站)
S0316,永定门内,116.400122,39.873737,北京市东城区永定门内(公交站)
S0317,先农坛,116.400276,39.87764,北京市东城区先农坛(公交站)
S0318,天坛西门,116.399115,39.881949,北京市东城区天坛西门(公交站)
S0319,珠市口南,116.398604,39.888703,北京市东城区珠市口南(公交站)
S0320,大栅栏,116.394583,39.893889,北京市西城区大栅栏(公交站)
S0321,前门,116.39901,39.899185,北京市东城区前门(公交站)
S0322,天安门广场东,116.399588,39.901506,北京市东城区天安门广场东(公交站)
S0323,天安门东,116.401295,39.907647,北京市东城区天安门东(公交站)
S0326,北京站口东,116.428468,39.908551,北京站口东(公交站)
S0327,日坛路,116.441956,39.908588,北京市朝阳区日坛路(公交站)
S0331,永安里路口西,116.446667,39.90842,北京市朝阳区永安里路口西(公交站)
S0332,天安门广场西,116.396004,39.902412,北京市东城区天安门广场西(公交站)
S0621,沙滩路口南,116.40641,39.922787,北京市东城区沙滩路口南(公交站)
S0745,四惠枢纽站,116.49675,39.906649,北京市朝阳区四惠枢纽站(公交站)
S0746,大北窑西,116.459822,39.908694,北京市朝阳区大北窑西(公交站)
S0747,东单路口西,116.416229,39.908279,北京市东城区东单路口西(公交站)
S0748,天安门西,116.389664,39.907246,北京市西城区天安门西(公交站)
S0749,西单路口东,116.377318,39.907062,北京市西城区西单路口东(公交站)
S0750,工会大楼,116.345634,39.907207,北京市西城区工会大楼(公交站)
S0751,木樨地西,116.332878,39.9077,北京市海淀区木樨地西(公交站)
S0752,军事博物馆,116.325424,39.907387,北京市海淀区军事博物馆(公交站)
S0753,公主坟,116.30999,39.910812,北京市海淀区公主坟(公交站)
S0754,翠微路口,116.301147,39.907444,北京市海淀区翠微路口(公交站)
S0755,万寿路口西,116.293434,39.90741,北京市海淀区万寿路口西(公交站)
S0756,东翠路口,116.287636,39.907513,北京市海淀区东翠路口(公交站)
S0757,沙沟路口西,116.281975,39.907409,北京市海淀区沙沟路口西(公交站)
S0758,五棵松桥东,116.278194,39.907405,北京市海淀区五棵松桥东(公交站)
S0759,永定路口东,116.26564,39.907394,北京市海淀区永定路口东(公交站)
S0760,玉泉路口西,116.251732,39.90747,北京市石景山区玉泉路口西(公交站)
S0761,八宝山,116.24221,39.907372,北京市石景山区八宝山(公交站)
S0762,地铁八宝山站,116.237251,39.907444,北京市石景山区地铁八宝山站(公交站)
S0763,老山南路东口,116.23378,39.911751,北京市石景山区老山南路东口(公交站)
S0764,老山公交场站,116.231941,39.916698,北京市石景山区老山公交场站(公交站)
S0765,五棵松桥西,116.273199,39.907391,北京市海淀区五棵松桥西(公交站)
S0865,东安门,116.406708,39.914196,北京市东城区东安门(公交站)
S0866,南河沿,116.406853,39.910799,北京市东城区南河沿(公交站)
S0867,刘家窑桥西,116.418167,39.856899,北京市丰台区刘家窑桥西(公交站)
S0868,刘家窑桥东,116.427086,39.85807,北京市丰台区刘家窑桥东(公交站)
S0869,顺四条,116.428543,39.853794,北京市丰台区顺四条(公交站)
S0870,宋家庄,116.428436,39.847927,北京市丰台区宋家庄(公交站)
S0871,地铁宋家庄站,116.428403,39.844575,北京市丰台区地铁宋家庄站(公交站)
S0872,双庙北,116.427461,39.84076,北京市丰台区双庙北(公交站)
S0873,双庙,116.431496,39.837891,北京市丰台区双庙(公交站)
