trip_id,route_id,direction_id,bus_id
T000001,R0001,0,B00001
T000002,R0001,1,B00001
T000003,R0001,0,B00001
T000004,R0001,1,B00001
T000005,R0001,0,B00001
T000006,R0001,1,B00001
T000007,R0001,0,B00001
T000008,R0001,1,B00002
T000009,R0001,0,B00002
T000010,R0001,1,B00002
T000011,R0001,0,B00002
T000012,R0001,1,B00002
T000013,R0001,0,B00002
T000014,R0001,1,B00002
T000015,R0001,0,B00003
T000016,R0001,1,B00003
T000017,R0001,0,B00003
T000018,R0001,1,B00003
T000019,R0001,0,B00003
T000020,R0001,1,B00003
T000021,R0001,0,B00003
T000022,R0001,1,B00004
T000023,R0001,0,B00004
T000024,R0001,1,B00004
T000025,R0001,0,B00004
T000026,R0001,1,B00004
T000027,R0001,0,B00004
T000028,R0001,1,B00004
T000029,R0001,0,B00005
T000030,R0001,1,B00005
T000031,R0001,0,B00005
T000032,R0001,1,B00005
T000033,R0001,0,B00005
T000034,R0001,1,B00005
T000035,R0001,0,B00005
T000036,R0001,1,B00006
T000037,R0001,0,B00006
T000038,R0001,1,B00006
T000039,R0001,0,B00006
T000040,R0001,1,B00006
T000041,R0001,0,B00006
T000042,R0001,1,B00006
T000043,R0001,0,B00007
T000044,R0001,1,B00007
T000045,R0001,0,B00007
T000046,R0001,1,B00007
T000047,R0001,0,B00007
T000048,R0001,1,B00007
T000049,R0001,0,B00007
T000050,R0001,1,B00008
T000051,R0001,0,B00008
T000052,R0001,1,B00008
T000053,R0001,0,B00008
T000054,R0001,1,B00008
T000055,R0001,0,B00008
T000056,R0001,1,B00008
T000057,R0001,0,B00009
T000058,R0001,1,B00009
T000059,R0001,0,B00009
T000060,R0001,1,B00009
T000061,R0001,0,B00009
T000062,R0001,1,B00009
T000063,R0001,0,B00009
T000064,R0001,1,B00010
T000065,R0001,0,B00010
T000066,R0001,1,B00010
T000067,R0001,0,B00010
T000068,R0001,1,B00010
T000069,R0001,0,B00010
T000070,R0001,1,B00010
T000071,R0001,0,B00011
T000072,R0001,1,B00011
T000073,R0001,0,B00011
T000074,R0001,1,B00011
T000075,R0001,0,B00011
T000076,R0001,1,B00011
T000077,R0001,0,B00011
T000078,R0001,1,B00012
T000079,R0001,0,B00012
T000080,R0001,1,B00012
T000081,R0001,0,B00012
T000082,R0001,1,B00012
T000083,R0001,0,B00012
T000084,R0001,1,B00012
T000085,R0001,0,B00013
T000086,R0001,1,B00013
T000087,R0001,0,B00013
T000088,R0001,1,B00013
T000089,R0001,0,B00013
T000090,R0001,1,B00013
T000091,R0001,0,B00013
T000092,R0001,1,B00014
T000093,R0001,0,B00014
T000094,R0001,1,B00014
T000095,R0001,0,B00014
T000096,R0001,1,B00014
T000097,R0001,0,B00014
T000098,R0001,1,B00014
T000099,R0001,0,B00015
T000100,R0001,1,B00015
T000101,R0001,0,B00015
T000102,R0001,1,B00015
T000103,R0001,0,B00015
T000104,R0001,1,B00015
T000105,R0001,0,B00015
T000106,R0001,1,B00016
T000107,R0001,0,B00016
T000108,R0001,1,B00016
T000109,R0001,0,B00016
T000110,R0001,1,B00016
T000111,R0001,0,B00016
T000112,R0001,1,B00016
T000113,R0001,0,B00017
T000114,R0001,1,B00017
T000115,R0001,0,B00017
T000116,R0001,1,B00017
T000117,R0001,0,B00017
T000118,R0001,1,B00017
T000119,R0001,0,B00017
T000120,R0001,1,B00018
T000121,R0001,0,B00018
T000122,R0001,1,B00018
T000123,R0001,0,B00018
T000124,R0001,1,B00018
T000125,R0001,0,B00018
T000126,R0001,1,B00018
T000127,R0001,0,B00019
T000128,R0001,1,B00019
T000129,R0001,0,B00019
T000130,R0001,1,B00019
T000131,R0001,0,B00019
T000132,R0001,1,B00019
T000133,R0001,1,B00020
T000134,R0001,0,B00020
T000135,R0001,1,B00020
